#Source	#Target	#Weight
Afzalgunj.Bus.Stop	CBS.Bus.Stop	20
Afzalgunj.Bus.Stop	Charminar.Bus.Stop	2
Afzalgunj.Bus.Stop	LB.Nagar.Bus.Stop	1
Afzalgunj.Bus.Stop	Malakpet	1
Afzalgunj.Bus.Stop	Chaderghat.Bus.Stop	1
Afzalgunj.Bus.Stop	Womens.college.Bus.Stop	2
Afzalgunj.Bus.Stop	NGOs.Colony.Bus.Stop	1
Afzalgunj.Bus.Stop	East.Bahadurpura	21
Afzalgunj.Bus.Stop	Falaknuma	1
Afzalgunj.Bus.Stop	Kushaiguda	2
Afzalgunj.Bus.Stop	ECIL.Bus.Stop	1
Afzalgunj.Bus.Stop	Yapral.Bus.Stop	1
Afzalgunj.Bus.Stop	NFC(ECIL)	1
Afzalgunj.Bus.Stop	Gokhle.Nagar	1
Afzalgunj.Bus.Stop	Hema.Nagar	1
Afzalgunj.Bus.Stop	Rajiv.Gruhakalpa.Colony	1
Afzalgunj.Bus.Stop	Jummerat.Bazar	1
Afzalgunj.Bus.Stop	Nampally	4
Afzalgunj.Bus.Stop	Gandhi.Bhavan.Bus.Stop	2
Afzalgunj.Bus.Stop	Mozamjahi.Market	8
Afzalgunj.Bus.Stop	Shamshabad.Bus.Stop	2
Afzalgunj.Bus.Stop	Jeedimetla.Bus.Stop	1
Afzalgunj.Bus.Stop	Borabanda.Bus.Stop	1
Afzalgunj.Bus.Stop	Gayatri.Hills	1
Afzalgunj.Bus.Stop	YMCA(Secunderabad)	1
Afzalgunj.Bus.Stop	Darulshifa	1
Afzalgunj.Bus.Stop	City.Criminal.Court	2
Afzalgunj.Bus.Stop	Dabeerpura	1
Afzalgunj.Bus.Stop	Hayath.Nagar.Bus.Stop	1
Afzalgunj.Bus.Stop	Patancheru.Bus.Stop	1
Gowliguda	Afzalgunj.Bus.Stop	39
Gowliguda	Osmangunj	1
CBS.Bus.Stop	Gowliguda	37
CBS.Bus.Stop	Chaderghat.Bus.Stop	11
CBS.Bus.Stop	Ziaguda	1
CBS.Bus.Stop	Sanath.Nagar.Bus.Stop	1
CBS.Bus.Stop	Yousufguda.basti.Bus.Stop	1
CBS.Bus.Stop	Borabanda.Bus.Stop	1
CBS.Bus.Stop	Suraram	1
CBS.Bus.Stop	Gajularamaram	2
CBS.Bus.Stop	Kazipally	1
Putlibowli	CBS.Bus.Stop	39
Putlibowli	MGBS.Bus.Stop	2
Putlibowli	Chaderghat.Bus.Stop	4
Putlibowli	Victory.Play.ground	15
Koti.Bus.Stop	Afzalgunj.Bus.Stop	5
Koti.Bus.Stop	CBS.Bus.Stop	15
